fields,soil_compname,soil_taxclass,soil_taxorder,soil_taxsuborder,soil_taxgrtgroup,soil_taxsubgrp
f8,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f8,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f8,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f8,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f2,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f2,Mikkalo,"Coarse-silty, mixed, superactive, mesic Calcidic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Calcidic Haploxerolls
f1,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f1,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f1,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f1,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f5,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f5,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f5,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f5,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f3,Taunton,"Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f3,Taunton,"Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f3,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f3,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f4,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f4,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f4,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f4,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f6,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f6,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f6,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f6,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f7,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f7,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f7,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f7,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f10,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f10,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f10,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f10,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f12,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f12,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f12,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f12,Quincy,"Mixed, mesic Xeric Torripsamments",Entisols,Psamments,Torripsamments,Xeric Torripsamments
f11,Taunton,"Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f11,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f11,Koehler,"Sandy, mixed, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f11,Sagehill,"Coarse-loamy, mixed, superactive, mesic Xeric Haplocambids",Aridisols,Cambids,Haplocambids,Xeric Haplocambids
f9,Sagehill,"Coarse-loamy, mixed, superactive, mesic Xeric Haplocambids",Aridisols,Cambids,Haplocambids,Xeric Haplocambids
f9,Taunton,"Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids",Aridisols,Durids,Haplodurids,Xeric Haplodurids
f13,Timmerman,"Sandy, mixed, mesic Xeric Haplocambids",Aridisols,Cambids,Haplocambids,Xeric Haplocambids
f13,Timmerman,"Sandy, mixed, mesic Xeric Haplocambids",Aridisols,Cambids,Haplocambids,Xeric Haplocambids
f13,Timmerman,"Sandy, mixed, mesic Xeric Haplocambids",Aridisols,Cambids,Haplocambids,Xeric Haplocambids
f13,Timmerman,"Sandy, mixed, mesic Xeric Haplocambids",Aridisols,Cambids,Haplocambids,Xeric Haplocambids
