#SampleID	field	field_coord	coll_coord	cords_note	quant_reading	sample_or_control	cul_type	soil_compname	soil_taxclass	soil_taxorder	soil_taxsuborder	soil_taxgrtgroup	soil_taxsubgrp	Soil_Collect_Date	Mean_Day_Air_Temp	pH	Meloidogyne_hapla	Meloidogyne_chitwoodi	Pratylenchus_penetrans	Pratylenchus_neglectus	Pratylenchus_thornei	Paratrichodorus_sp	Tylenchorhynchus_sp	Paratylenchus_sp	Helicotylenchus_sp	MesocriconemaÂ sp	Ditylenchus_sp	Xiphinema_sp	Hemicycliophora_sp	vert_count	bd_count	y1998	y1999	y2000	y2001	y2002	y2003	y2004	y2005	y2006	y2007	y2008	y2009	y2010	y2011	y2012	y2013	y2014	y2015	y2016	y2017	y2018
B750_1	B750	45.77219,-119.76143	45.784883,-119.763844	error	269.69696969697	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.325	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
B750_2	B750	45.77219,-119.76143	45.773372,-119.763889		242.424242424242	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
B750_3	B750	45.77219,-119.76143	45.773483,-119.759289		241.818181818182	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	6.51	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
B750_4	B750	45.77219,-119.76143	45.770672,-119.759714		246.060606060606	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	CORN	CORN	POTATO
WA_1	WA	47.007591,-119.243164	47.006133,-119.245311		215.757575757576	sample	Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	5.745	0	1850	0	0	0	0	8	0	0	0	0	0	0	4	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
WA_2	WA	47.007591,-119.243164	47.009003,-119.244847		238.181818181818	sample	Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	5.39	64	2600	0	0	0	12	0	0	0	0	0	0	0	5	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
WA_3	WA	47.007591,-119.243164	47.008542,-119.240781		230.30303030303	sample	Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	4.915	16	1248	0	0	0	0	0	0	0	0	0	0	0	0	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
WA_4	WA	47.007591,-119.243164	47.006308,-119.241875		235.757575757576	sample	Green	Timmerman	Sandy, mixed, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-20-2018	43.31	4.905	48	1080	0	0	0	0	6	0	0	0	0	0	0	1	0			POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	MUSTARD	POTATO	WHEAT-MUSTARD	POTATO	WHEAT-MUSTARD	BEAN	MUSTARD
B213_1	B213	45.76094,-119.99018	45.759656,-119.992033		264.848484848485	sample	Conventional	Taunton	Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.045	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	ALFALFA	CORN	CORN	WHEAT	ALFALFA	ALFALFA	ALFALFA	WHEAT	MINT	MINT	MINT	WHEAT	ALFALFA	ALFALFA	ALFALFA	ALFALFA
B213_2	B213	45.76094,-119.99018	45.761789,-119.9924		260	sample	Conventional	Taunton	Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.075	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	ALFALFA	CORN	CORN	WHEAT	ALFALFA	ALFALFA	ALFALFA	WHEAT	MINT	MINT	MINT	WHEAT	ALFALFA	ALFALFA	ALFALFA	ALFALFA
B213_3	B213	45.76094,-119.99018	45.762378,-119.988925		227.878787878788	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.76	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	ALFALFA	CORN	CORN	WHEAT	ALFALFA	ALFALFA	ALFALFA	WHEAT	MINT	MINT	MINT	WHEAT	ALFALFA	ALFALFA	ALFALFA	ALFALFA
B213_4	B213	45.76094,-119.99018	45.759658,-119.988336		227.272727272727	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.26	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	ALFALFA	CORN	CORN	WHEAT	ALFALFA	ALFALFA	ALFALFA	WHEAT	MINT	MINT	MINT	WHEAT	ALFALFA	ALFALFA	ALFALFA	ALFALFA
B506_1	B506	45.76178,-119.88597	45.760517,-119.887733		249.69696969697	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	2-27-2018	39.02	7.62	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	ALFALFA	POTATO	CORN	ONION	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO
B506_2	B506	45.76178,-119.88597	45.762917,-119.887453		244.848484848485	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	2-27-2018	39.02	7.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ALFALFA	POTATO	CORN	ONION	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO
B506_3	B506	45.76178,-119.88597	45.763381,-119.884292		246.666666666667	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	6.58	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	ALFALFA	POTATO	CORN	ONION	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO
B506_4	B506	45.76178,-119.88597	45.760481,-119.884386		201.818181818182	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	6.91	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	ALFALFA	POTATO	CORN	ONION	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO
B415_1	B415	45.77676,-119.88968	45.775164,-119.891992		235.151515151515	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-1-2018	41.64	7.345	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN	ONION	POTATO
B415_2	B415	45.77676,-119.88968	45.777703,-119.892633		234.545454545455	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-1-2018	41.64	6.73	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN	ONION	POTATO
B415_3	B415	45.77676,-119.88968	45.778525,-119.887811		227.878787878788	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-1-2018	41.64	6.61	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN	ONION	POTATO
B415_4	B415	45.77676,-119.88968	45.775194,-119.887506		259.393939393939	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-1-2018	41.64	6.795	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	MINT	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN	ONION	POTATO
B108_1	B108	45.75116,-119.95008	45.752433,-119.953708		281.212121212121	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.225	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	WHEAT	CORN	CORN	POTATO	WHEAT	ONION	CORN	POTATO	ALFALFA	ALFALFA	CORN	POTATO	CORN	CORN	POTATO	WHEAT	CARROT	POTATO	CORN	ONION	POTATO
B108_2	B108	45.75116,-119.95008	45.808611,-120.202222	error	278.181818181818	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	2-27-2018	39.02	7.41	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	WHEAT	CORN	CORN	POTATO	WHEAT	ONION	CORN	POTATO	ALFALFA	ALFALFA	CORN	POTATO	CORN	CORN	POTATO	WHEAT	CARROT	POTATO	CORN	ONION	POTATO
O148_1	O148	45.68976,-119.89325	45.689019,-119.894392		274.545454545455	sample	Organic	Sagehill	Coarse-loamy, mixed, superactive, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-8-2018	45	6.875	0	0	0	56	0	0	12	0	0	0	0	0	0	7	0															CORN	PEAS	CORN	PEAS	CORN	PEAS	CORN
O148_2	O148	45.68976,-119.89325	45.688997,-110.891578		276.363636363636	sample	Organic	Taunton	Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-8-2018	45	7.155	0	0	0	42	0	0	16	0	0	0	0	0	0	1	0															CORN	PEAS	CORN	PEAS	CORN	PEAS	CORN
O620_1	O620	45.72765,-119.84815	45.726461,-119.850072		270.30303030303	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	6.93	0	0	0	64	0	0	8	0	0	0	0	0	0	0	0									ALFALFA	POTATO	TRITICALE	CARROT	CORN	TRITICALE	PEAS	ONION	CORN	CORN	PEAS	CORN	ALFALFA
O620_2	O620	45.72765,-119.84815	45.728869,-119.849461		262.424242424242	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	7.245	0	0	0	224	0	16	32	0	0	0	0	0	0	0	0									ALFALFA	POTATO	TRITICALE	CARROT	CORN	TRITICALE	PEAS	ONION	CORN	CORN	PEAS	CORN	ALFALFA
O620_3	O620	45.72765,-119.84815	45.729111,-119.846731		257.575757575758	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	7.285	0	0	0	120	0	12	36	0	0	0	30	0	0	2	0									ALFALFA	POTATO	TRITICALE	CARROT	CORN	TRITICALE	PEAS	ONION	CORN	CORN	PEAS	CORN	ALFALFA
O620_4	O620	45.72765,-119.84815	45.726367,-119.847394		271.515151515151	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	7.055	0	0	0	56	0	0	48	0	0	0	0	0	0	0	0									ALFALFA	POTATO	TRITICALE	CARROT	CORN	TRITICALE	PEAS	ONION	CORN	CORN	PEAS	CORN	ALFALFA
B66_1	B66	45.720444,-119.915998	45.752764,-119.917936	error	263.030303030303	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	6.455	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	WHEAT	CORN	POTATO	WHEAT	ALFALFA	ALFALFA	ALFALFA	POTATO	CORN	CORN	POTATO	CORN	CORN
B66_2	B66	45.720444,-119.915998	45.7216,-119.917617		242.424242424242	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	7.045	0	0	0	0	0	6	10	0	0	0	0	0	0	2	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	WHEAT	CORN	POTATO	WHEAT	ALFALFA	ALFALFA	ALFALFA	POTATO	CORN	CORN	POTATO	CORN	CORN
B66_3	B66	45.720444,-119.915998	45.721594,-119.914561		258.787878787879	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	7.31	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	WHEAT	CORN	POTATO	WHEAT	ALFALFA	ALFALFA	ALFALFA	POTATO	CORN	CORN	POTATO	CORN	CORN
B66_4	B66	45.720444,-119.915998	45.719128,-119.913608		290.909090909091	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-8-2018	45	6.825	0	12	0	0	0	8	10	0	0	0	0	0	0	1	0	POTATO	CORN	CORN	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	WHEAT	CORN	POTATO	WHEAT	ALFALFA	ALFALFA	ALFALFA	POTATO	CORN	CORN	POTATO	CORN	CORN
B10_1	B10	45.7449,-119.94556	45.743458,-119.949414		230.909090909091	sample	Conventional	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-1-2018	41.64	7.67	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	WHEAT	POTATO	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	WHEAT	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO	ONION	CORN	POTATO	CORN
B10_2	B10	45.7449,-119.94556	45.746761,-119.948028		243.636363636364	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-1-2018	41.64	7.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WHEAT	POTATO	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	WHEAT	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO	ONION	CORN	POTATO	CORN
B10_3	B10	45.7449,-119.94556	45.746525,-119.945036		323.030303030303	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-1-2018	41.64	7.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WHEAT	POTATO	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	WHEAT	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO	ONION	CORN	POTATO	CORN
B10_4	B10	45.7449,-119.94556	45.743425,-119.944581		284.242424242424	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-1-2018	41.64	7.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WHEAT	POTATO	POTATO	ALFALFA	ALFALFA	ALFALFA	POTATO	MINT	MINT	WHEAT	POTATO	CORN	CORN	POTATO	CORN	CORN	POTATO	ONION	CORN	POTATO	CORN
B718_1	B718	45.78855,-119.82541	45.787119,-119.826811		235.757575757576	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	6.735	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0		POTATO	WHEAT	POTATO	ONION	PEAS/CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN
B718_2	B718	45.78855,-119.82541	45.790125,-119.826392		268.484848484848	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.055	0	0	0	40	0	0	48	16	0	0	0	0	0	30	0		POTATO	WHEAT	POTATO	ONION	PEAS/CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN
B718_3	B718	45.78855,-119.82541	45.789422,-119.823367		251.515151515152	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	6.78	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0		POTATO	WHEAT	POTATO	ONION	PEAS/CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN
B718_4	B718	45.78855,-119.82541	45.787233,-119.823783		261.212121212121	sample	Conventional	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.335	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0		POTATO	WHEAT	POTATO	ONION	PEAS/CORN	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	WHEAT	ONION	POTATO	CORN	ONION	POTATO	CORN
O772_1	O772	45.7534,-119.76927	45.753019,-119.770908		258.181818181818	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																CORN	PEAS	PEAS-CORN	PEAS	CARROT	CORN
O772_2	O772	45.7534,-119.76927	45.754589,-119.771011		272.121212121212	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.615	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0																CORN	PEAS	PEAS-CORN	PEAS	CARROT	CORN
O772_3	O772	45.7534,-119.76927	45.754706,-119.767958		244.848484848485	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	7.58	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0																CORN	PEAS	PEAS-CORN	PEAS	CARROT	CORN
O772_4	O772	45.7534,-119.76927	45.752856,-119.768039		286.060606060606	sample	Organic	Quincy	Mixed, mesic Xeric Torripsamments	Entisols	Psamments	Torripsamments	Xeric Torripsamments	3-6-2018	36.64	6.8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0																CORN	PEAS	PEAS-CORN	PEAS	CARROT	CORN
O658_1	O658	45.71551,-119.98875	45.712325,-119.995272		269.090909090909	sample	Organic	Taunton	Coarse-loamy, mixed, superactive, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-8-2018	45	7.635	0	0	0	112	0	0	52	0	0	0	0	0	0	39	0									CORN	PEAS	ONION	ALFALFA	ALFALFA	CORN	ALFALFA	CORN	PEAS	CORN	PEAS-CORN	PEAS	CORN
O658_2	O658	45.71551,-119.98875	45.713781,-119.99505		308.484848484848	sample	Organic	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-8-2018	45	7.48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0									CORN	PEAS	ONION	ALFALFA	ALFALFA	CORN	ALFALFA	CORN	PEAS	CORN	PEAS-CORN	PEAS	CORN
O658_3	O658	45.71551,-119.98875	45.7135,-119.992925		284.242424242424	sample	Organic	Koehler	Sandy, mixed, mesic Xeric Haplodurids	Aridisols	Durids	Haplodurids	Xeric Haplodurids	3-8-2018	45	7.225	0	0	0	32	0	0	56	0	0	0	0	0	0	1	0									CORN	PEAS	ONION	ALFALFA	ALFALFA	CORN	ALFALFA	CORN	PEAS	CORN	PEAS-CORN	PEAS	CORN
O658_4	O658	45.71551,-119.98875	45.712406,-119.992894		290.30303030303	sample	Organic	Sagehill	Coarse-loamy, mixed, superactive, mesic Xeric Haplocambids	Aridisols	Cambids	Haplocambids	Xeric Haplocambids	3-8-2018	45	7.5	0	0	0	136	0	0	64	0	0	0	0	0	0	10	0									CORN	PEAS	ONION	ALFALFA	ALFALFA	CORN	ALFALFA	CORN	PEAS	CORN	PEAS-CORN	PEAS	CORN
Blank_1					240	control																																														
Blank_2					226.060606060606	control																																														
PCR_Neg_2					249.69696969697	control																																														
PCR_Neg_1					293.333333333333	control																																														
Plate_Blank					0.001	control																																														
